"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2007-Q2",-2.25,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2007-Q3",1.25,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2007-Q4",-4.02,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2008-Q1",3.65,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2008-Q2",-1.39,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2008-Q3",5.55,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2008-Q4",-4.58,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2009-Q1",0.51,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2009-Q2",5.12,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2009-Q3",-2.73,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2009-Q4",3.04,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2010-Q1",-2.87,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2010-Q2",1.79,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2010-Q3",-1.38,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2010-Q4",-0.61,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2011-Q1",-1.53,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2011-Q2",-0.49,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2011-Q3",-1.43,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2011-Q4",-1.17,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2012-Q1",-2.06,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2012-Q2",-1.15,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2012-Q3",0.64,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2012-Q4",0.87,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2013-Q1",-0.54,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2013-Q2",0.27,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2013-Q3",-1.15,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2013-Q4",-3.47,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2014-Q1",2.19,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2014-Q2",-0.19,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2014-Q3",2.48,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2014-Q4",-0.14,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2015-Q1",1.59,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2015-Q2",-0.64,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2015-Q3",0.39,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2015-Q4",2.18,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2016-Q1",0.53,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2016-Q2",-1.2,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2016-Q3",3.97,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2016-Q4",-0.78,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2017-Q1",-0.97,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2017-Q2",1.46,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2017-Q3",-0.05,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2017-Q4",2.57,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2018-Q1",-0.25,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2018-Q2",0.23,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2018-Q3",0.98,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2018-Q4",0.85,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2019-Q1",0.9,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2019-Q2",1.51,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2019-Q3",0.76,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2019-Q4",0.38,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2020-Q1",-1.37,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2020-Q2",-4.03,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2020-Q3",2.85,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2020-Q4",0.65,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2021-Q1",1.23,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2021-Q2",1.77,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2021-Q3",-2.83,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2021-Q4",1.95,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2022-Q1",1.96,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2022-Q2",-0.54,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2022-Q3",-3.79,
"PRT","HHDI","GROSS","PC_CHGPPCAP","Q","2022-Q4",5.8,
